Barrier ID,Site Name,Watershed Name ,Structure Type,Assessment Step Completed,Next Step,Notes ,Reason,Supporting Links
1200000034,Tezzeron Cr @ Beaver dam (Inzana FSR) (GER-3/12600461),Lower Trembleur Lake,Other,Barrier assessment,Barrier assessment (data deficient structures only),"Good rearing and spawning potential, high quality habitat.",Structure is a series of beaver dams and log jams,
1200000035,Teegee Cr @ Branch off Old Driftwood Rd (TAK-8/20000182),Takla Lake,Other,Barrier assessment,Barrier reassessment,"Suitable spawning gravels, good rearing throughout",Assess beaver dam for mitigation options; determine active status,
124601,Cripple Cr @ Germansen Lndg (124601),Lower Trembleur Lake,Stream crossing - CBS,Barrier assessment,Habitat confirmation (data deficient structures only),"High rearing potential, some potentially suitable spawning substrate observed, possibly more neaby.","Barrier, beaver dams at inlet add to obstacles. ",
125788,Natazutlo Cr @ Kazchek FSR (125788),Middle River,Stream crossing - CBS,Barrier assessment,Habitat confirmation (data deficient structures only),Shallow riffles and some suitable spawning substrate obs near crossing. Beaver dam 20 m upstream causing ponding. Good overwintering (deep pools),,
203995,MacDougall Cr @ 900 FSR (SAK-3/20001205),Takla Lake,Stream crossing - CBS,Barrier assessment,Habitat confirmation (data deficient structures only),"Moderate value with suitable spawning gravels mixed with cobbles, rearing potential present. Lowe overwintering potential except in plunge pool.","Barrier, likely passable to some species and life stages but would be improved with embedment or OBS. ",
203996,Teegee Cr @ Fall Rd (FAL-2/20000645),Takla Lake,Stream crossing - CBS,Barrier assessment,Habitat confirmation (data deficient structures only),"CBS-rated as barrier. Large outlet drop, backwatering not feasible. Recomend replacing with OBS due to gradient of stream. Mix of LWD and SWD, lacks pools - rearing potential. Lacks consistent spawning gravels, mostly small boulders and cobbles. Low spawning. Upstream slope up to 4% riffle. Large drop at outlet, seen from inlet. Barrel depressed near outlet.","Barrier, large outlet drop. Limited spawning gravels, lacks pools.",
204001,Pitka Cr @ Frost Rd (PIT-4/19300009),Stuart Lake,Stream crossing - CBS,Barrier assessment,Engage with partners,"Swampy ponded wetland upstream and downstream, lacks continuous defined banks. Side channel upstream has some cobbles, gravel and boulders. Frog/toad observed and leeches.","Scores as potential barrier but likely passable - fully backwatered, well sized",
204004,Prairie Meadow Rd @ Hampton Lumber (PMC-2/19301094),Stuart Lake,Stream crossing - CBS,Barrier assessment,Habitat confirmation (data deficient structures only),Buried in ~14 m high ridge up to train tracks (fill depth),Scores as barrier but fully backwatered so could be passable. Can not see outlet so could have debris or damaged end. ,
204008,Teegee Cr @ Driftwood FSR (TAK-7/20000644),Takla Lake,Stream crossing - CBS,Barrier assessment,Habitat confirmation (data deficient structures only),High beaver activity. Upstream ponded and stagnant. Lack of continous banks downstream. No suitable spawning gravels 50 m downstream. ,Barrier,
204010,Teegee Cr @ Branch off Driftwood FSR (TAK-5/20001252),Takla Lake,Stream crossing - CBS,Barrier assessment,Habitat confirmation (data deficient structures only),"Bottom of culvert rusted out. Previously blocked by beavers. Good rearing, overwintering and migration corridor. Some sutitable spawning gravels obs downstream .",Likely passable at some flows. ,
